x,y,time
0.0,0.0,2025-07-04T11:36:17.035369
0.0,0.0,2025-07-04T11:36:17.038382
0.0,0.0,2025-07-04T11:36:17.041374
0.0,0.0,2025-07-04T11:36:17.044339
0.0,0.0,2025-07-04T11:36:17.046553
0.0,0.0,2025-07-04T11:36:17.049518
0.0,0.0,2025-07-04T11:36:17.052320
0.0,0.0,2025-07-04T11:36:17.055339
0.0,0.0,2025-07-04T11:36:17.058517
0.0,0.0,2025-07-04T11:36:17.061449
0.0,0.0,2025-07-04T11:36:17.064481
0.0,0.0,2025-07-04T11:36:17.067478
0.0,0.0,2025-07-04T11:36:17.070269
0.0,0.0,2025-07-04T11:36:17.072292
0.0,0.0,2025-07-04T11:36:17.075440
0.0,0.0,2025-07-04T11:36:17.078416
0.0,0.0,2025-07-04T11:36:17.081449
0.0,0.0,2025-07-04T11:36:17.084450
0.0,0.0,2025-07-04T11:36:17.087226
0.0,0.0,2025-07-04T11:36:17.090216
0.0,0.0,2025-07-04T11:36:17.092211
0.0,0.0,2025-07-04T11:36:17.094206
0.0,0.0,2025-07-04T11:36:17.096355
0.0,0.0,2025-07-04T11:36:17.099392
0.0,0.0,2025-07-04T11:36:17.102184
0.0,0.0,2025-07-04T11:36:17.104260
0.0,0.0,2025-07-04T11:36:17.107333
0.0,0.0,2025-07-04T11:36:17.110378
0.0,0.0,2025-07-04T11:36:17.113350
0.0,0.0,2025-07-04T11:36:17.116346
0.0,0.0,2025-07-04T11:36:17.119171
0.0,0.0,2025-07-04T11:36:17.122158
0.0,0.0,2025-07-04T11:36:17.125320
0.0,0.0,2025-07-04T11:36:17.128318
0.0,0.0,2025-07-04T11:36:17.131302
0.0,0.0,2025-07-04T11:36:17.134289
0.0,0.0,2025-07-04T11:36:17.137090
0.0,0.0,2025-07-04T11:36:17.140082
0.0,0.0,2025-07-04T11:36:17.142078
0.0,0.0,2025-07-04T11:36:17.145069
0.0,0.0,2025-07-04T11:36:17.147256
0.0,0.0,2025-07-04T11:36:17.150267
0.0,0.0,2025-07-04T11:36:17.153077
0.0,0.0,2025-07-04T11:36:17.156039
0.0,0.0,2025-07-04T11:36:17.158247
0.0,0.0,2025-07-04T11:36:17.161238
0.0,0.0,2025-07-04T11:36:17.164214
0.0,0.0,2025-07-04T11:36:17.167205
0.0,0.0,2025-07-04T11:36:17.170002
0.0,0.0,2025-07-04T11:36:17.172994
0.0,0.0,2025-07-04T11:36:17.175204
0.0,0.0,2025-07-04T11:36:17.178199
0.0,0.0,2025-07-04T11:36:17.181171
0.0,0.0,2025-07-04T11:36:17.184159
0.0,0.0,2025-07-04T11:36:17.186962
0.0,0.0,2025-07-04T11:36:17.189964
0.0,0.0,2025-07-04T11:36:17.192968
0.0,0.0,2025-07-04T11:36:17.196038
0.0,0.0,2025-07-04T11:36:17.198141
0.0,0.0,2025-07-04T11:36:17.201130
0.0,0.0,2025-07-04T11:36:17.203912
0.0,0.0,2025-07-04T11:36:17.205934
0.0,0.0,2025-07-04T11:36:17.208070
0.0,0.0,2025-07-04T11:36:17.211071
0.0,0.0,2025-07-04T11:36:17.214095
0.0,0.0,2025-07-04T11:36:17.217071
0.0,0.0,2025-07-04T11:36:17.220866
0.0,0.0,2025-07-04T11:36:17.223898
0.0,0.0,2025-07-04T11:36:17.225856
0.0,0.0,2025-07-04T11:36:17.230002
0.0,0.0,2025-07-04T11:36:17.233834
0.0,0.0,2025-07-04T11:36:17.237821
0.0,0.0,2025-07-04T11:36:17.240817
0.0,0.0,2025-07-04T11:36:17.244806
0.0,0.0,2025-07-04T11:36:17.249789
0.0,0.0,2025-07-04T11:36:17.253778
0.0,0.0,2025-07-04T11:36:17.256800
0.0,0.0,2025-07-04T11:36:17.259798
0.0,0.0,2025-07-04T11:36:17.262783
0.0,0.0,2025-07-04T11:36:17.265746
0.0,0.0,2025-07-04T11:36:17.268740
0.0,0.0,2025-07-04T11:36:17.271730
0.0,0.0,2025-07-04T11:36:17.273755
0.0,0.0,2025-07-04T11:36:17.275747
0.0,0.0,2025-07-04T11:36:17.277742
0.0,0.0,2025-07-04T11:36:17.279737
0.0,0.0,2025-07-04T11:36:17.281731
0.0,0.0,2025-07-04T11:36:17.283726
0.0,0.0,2025-07-04T11:36:17.285693
